ID,cc_cons
12554,20014
17645,10173
7604,16095
1590,7707
16556,96408
19106,130263
10086,113479
3045,7463
17368,5712
9756,7647
14772,15896
16901,140730
9853,164613
678,18331
11040,12329
6147,10069
1585,222566
19346,14694
7262,3045
1202,279
7791,14040
5438,5108
18797,19705
8661,24455
17362,10846
10693,17352
3905,2774
3334,9086
17536,13533
7552,141413
18876,2806
8129,80
6042,13135
10499,20360
11677,17076
3259,98963
1584,165997
2909,6730
1638,14559
3079,7279
19990,7771
582,4161
11396,14310
15030,28694
16342,205661
11264,320483
7103,621
5600,3076
8871,19221
16898,4943
14003,17595
2403,12317
12375,14956
12821,178734
3192,13638
17782,15239
1336,8797
7533,13363
9282,18383
17485,508
13471,322012
16144,337631
12968,8571
13835,391355
6174,313106
12686,136251
583,38
13458,326187
8875,18593
13417,6018
15679,17230
16111,19980
5820,10403
18688,15815
2728,40223
10372,27930
1929,9796
8146,9437
15114,16955
16874,19009
8644,15401
14576,7586
17402,12237
19577,238271
9865,16444
14846,19171
11063,13004
6572,19027
19880,2560
17051,13434
11491,449
7433,11968
14606,32029
8381,16394
18278,2660
14847,16157
15315,214314
16912,12335
1313,332701
10076,11635
1613,317146
915,209357
2191,9883
1857,14489
2175,4825
4633,180768
10264,16839
6292,81803
18637,14554
14800,15583
3899,12795
14064,31329
19905,304876
15144,9166
13492,1025
13398,179330
16106,7572
11605,406
5099,6861
16206,14673
13746,165283
19640,6495
7922,1502
8818,19619
16159,12278
11056,343513
17313,14474
16628,4083
14129,13757
9863,7614
10398,109525
18970,17597
6702,129403
3380,8081
8364,7634
12416,17361
2662,14666
15880,20334
4353,533
16259,20706
19838,290918
15766,169676
15550,18774
4409,293691
5037,10764
16158,84779
13900,312171
3528,317266
13015,5602
13561,4797
4727,6448
9941,10524
326,14343
11450,634
1111,1223
869,13440
3205,8012
6145,12641
8688,8629
18380,18658
7798,20396
6334,10114
12598,304620
15121,19611
15234,966
10416,15972
19646,138235
2776,16750
17265,11115
179,39778
13738,12205
11897,10938
6909,304549
10916,304253
2611,90968
13112,10883
14607,19845
9953,8372
11183,3398
18479,28366
2493,269
12279,13526
6922,30832
13869,7453
5859,405
11611,222067
16023,88417
5193,392
13199,3037
10929,7449
18321,8879
6907,16900
5280,16331
9522,5115
10202,15891
19877,5860
7361,405867
4007,7637
12086,165609
18662,8293
15922,10985
11463,18013
10590,221578
3920,342519
4957,320341
4068,5701
14000,8830
14121,6439
6485,16393
7027,6367
9116,299477
14048,11736
2054,301658
12616,14028
758,970
16049,947
17956,111888
10849,34064
14974,4567
17606,15859
13537,8571
2779,1223
11601,16269
5347,14880
17577,12706
793,2021
6782,12460
14050,8507
18155,16345
6101,295331
15205,2693
2541,18455
8326,5998
16880,169512
18629,10975
1427,6835
10116,124272
1798,321017
8704,9721
12832,3504
11038,19712
9560,291046
1431,2080
7175,132196
14182,7259
10210,71
16965,10772
19717,3133
14120,28755
17143,11201
6171,13995
17578,295728
10026,12770
8580,11384
2861,124532
2323,204384
11669,14082
8512,13268
2628,96855
3724,15046
7130,18041
14418,12544
12381,18602
18665,15167
751,7027
16909,8012
8673,5262
18097,994
5848,9075
14319,1739
5484,16786
11426,9323
11652,10343
2632,9083
13012,308290
2163,133186
14262,1020
9377,1404
12773,138962
6536,15311
10496,322504
11025,22586
10872,19607
17415,293618
7195,133127
19664,10960
19103,3389
8991,138097
421,17639
16866,20344
19660,15791
6981,10077
1393,286255
18516,18500
17733,4400
2,8593
9529,13750
16584,101325
16947,123207
535,244068
11914,14512
18926,18517
2284,2623
8498,126470
4668,301060
17040,12253
16092,6321
8651,4500
9448,2700
3919,15910
9566,97714
7877,15115
17846,3167
15353,2361
5108,19768
17192,17013
13161,9821
6197,667
19744,341390
4196,6243
3340,19449
18293,3568
14152,7425
1126,1692
6475,11800
18961,168134
1995,14292
7612,165645
15250,2592
2834,4948
11647,8649
13684,17329
1118,16831
8204,313572
16798,216017
18549,8138
539,15423
7756,6443
13388,14659
16829,17925
11218,299530
17115,106844
7519,8220
10594,4405
6403,18033
4686,141338
10114,12487
4398,1046
8049,82222
15322,3570
17437,295588
1196,7306
17497,337499
6544,1457
4831,15355
4121,4233
4295,4348
4647,10390
16308,11241
16577,16385
17080,124049
3836,16713
12646,218821
4445,11157
5360,242006
6383,7323
12728,15630
15109,3369
7000,220257
17704,11068
9759,183378
7024,18601
3542,400240
19831,6133
19622,18152
15441,1472
19648,2523
19836,126270
762,2413
251,11408
17062,6157
6766,7234
11617,4855
10446,20394
15068,18991
13779,10762
154,17273
13745,18982
9930,89207
12170,15346
14483,20075
11487,18817
10838,291812
18338,12240
14457,310323
14490,2220
1291,9696
10979,6808
8560,16677
11731,9857
15924,16287
8427,3862
4553,223306
12790,179853
17838,7827
6784,2360
8917,306089
8602,15313
7186,7024
15398,125
722,125916
14640,10638
19254,8076
13837,6388
8566,345006
7393,20310
132,306938
15200,599
9579,345135
6648,20084
4168,336642
4010,19599
388,142827
1823,14475
19964,13300
3900,4679
4393,18904
7935,15078
966,10814
10571,13978
1279,9626
1802,213491
15552,3370
4256,10029
10261,6691
17337,7782
5514,296503
18265,11288
10621,10457
5153,37754
6064,32390
12109,1022
17232,73
9653,2368
2823,717
15366,1794
7164,16359
16274,33552
8859,4006
13540,17635
11156,12273
5512,9771
10980,7857
13463,7200
19305,4326
1942,7778
18272,2919
16869,15751
14372,9795
42,17726
6199,13616
12429,19265
11215,8687
19563,14362
14881,20177
543,2702
3773,17694
8091,1924
7826,8950
18070,1148
6694,139958
3136,20386
4382,3790
2198,9024
1931,17029
13548,303115
8337,1549
16217,19335
5597,14964
5669,14793
16229,19979
17013,19569
9925,6847
4396,12365
17662,10476
9189,15278
4076,2200
9170,14063
6803,14674
16569,24063
18506,19738
7446,599
2219,15525
15419,5523
8522,18103
13854,6638
9988,14330
188,6832
5221,15353
16310,14038
650,15226
10341,15399
3996,363
9078,7047
9638,138788
19181,11072
5790,402927
10382,20384
15822,2065
16839,2857
7184,15531
6590,142891
17879,12488
352,13690
4210,986
12669,6633
5186,4081
3103,1179
267,3086
10386,11077
15522,9348
18875,15221
5546,18821
17721,10083
2374,9576
801,17553
8506,1619
1779,19876
17946,99135
12021,12638
9280,20266
17009,305776
9938,11864
17101,4238
19113,15502
1936,9714
12994,8004
10548,336695
8906,5459
6421,241571
3698,13383
11465,101631
17484,14866
1870,222367
7205,40230
3318,15201
4573,4274
13330,4694
450,288638
4902,19036
10948,169825
8624,7039
5739,44331
3219,6024
19418,310462
17922,2510
1519,12629
5803,11050
11684,5258
1572,5575
19636,9405
15340,15055
11581,123764
15033,15087
11561,1562
5236,2170
16740,13721
15947,4262
7193,7695
19895,14742
15913,17612
9488,213536
13705,5826
82,11045
8685,9884
12875,13546
15138,15384
19320,107441
11333,8303
12369,81897
13151,14683
12936,10732
11918,180640
16882,200521
3505,10169
485,19119
10118,25908
2704,176051
13833,19583
19548,113242
7053,169128
4844,15592
1120,11338
741,7533
3555,16974
17567,5532
5463,91677
15443,25920
5666,5394
15449,5442
15489,392907
18512,6827
16720,9365
13370,10674
18969,88224
17060,6608
14754,345368
18482,137934
14063,347326
12316,19781
15442,215762
8598,171944
1267,18668
902,857
11308,1307
4020,56613
496,14763
16669,3913
1057,239948
5451,9275
16635,93074
18627,126863
6840,183016
523,7401
11177,2799
18668,10780
14200,6479
18625,9244
13596,406958
8093,17870
4613,299488
2264,13820
3785,6336
10954,7486
18376,20349
467,19089
10108,8475
14991,1961
3446,7069
6285,12225
15117,17158
14930,20160
16606,12832
4926,167231
14389,12478
3153,12049
7334,12652
10535,11231
852,19478
19758,10433
15094,6939
17147,14145
5085,3696
13600,11438
18999,4540
9685,38460
8962,6549
10097,2085
12777,13043
12438,6606
9847,793
7269,17205
11771,3573
13879,6873
9743,3976
17589,317297
17161,92957
6552,18049
17350,215984
19073,133104
623,92347
15409,1740
9790,130442
9958,18649
212,17878
7988,12090
643,8481
6899,344935
1715,17130
4498,4731
9626,3124
6146,11621
12186,302951
19596,2125
18177,2591
19131,1465
5945,345312
6129,10117
16061,2959
1084,16955
14570,3199
18578,8553
19969,136123
11538,16835
1713,12126
8013,11784
7118,7674
16285,15634
1463,19027
10574,9580
982,15270
12500,3043
15487,1224
6355,11563
9503,17365
7886,18666
2439,10377
4136,16085
13579,4469
6061,6108
283,105827
6920,8827
8910,5699
12834,216967
13184,240486
1254,20429
14773,8538
19737,5596
17108,33444
12855,4250
1443,307872
4960,673
19032,322452
10963,17472
23,13975
4741,4239
14171,11901
289,2031
14672,8584
17659,8670
8997,19680
5585,30416
8547,17990
19296,13698
1520,13804
7688,47537
531,329000
15611,7637
2687,295048
7052,294844
19551,18785
8996,9307
14563,14995
9502,7943
17300,1545
17540,20200
14079,10300
10470,5618
9402,88032
3281,17159
13668,7054
6999,4069
12483,11809
3596,9472
17901,315298
15520,2793
15042,6753
12128,16192
3817,9720
9794,8290
9508,1436
9286,16689
12567,208
19575,10362
13328,17738
13413,15590
14222,138940
12580,20365
19637,403830
17884,86946
8056,126604
9003,1454
10478,331038
19601,339664
15175,11198
3418,17858
13253,3223
15684,1918
12789,1203
1557,16496
1297,83905
11979,322339
16713,6007
18846,12981
1876,3432
14794,16045
16316,406723
13319,379
10699,10196
10271,299863
37,8149
3974,20349
11927,16118
16105,17884
5472,6798
14792,327399
10960,20226
1047,12827
15858,1709
9553,8787
9438,11495
9851,172751
16750,311245
19786,755
13283,119634
19187,244147
16204,1750
14528,15054
8107,6664
875,14962
9059,36705
12009,14113
18990,31633
6904,167481
15950,4014
13764,37388
17224,16718
4932,3626
19310,12133
4638,12682
17448,12518
15896,11753
4100,323031
14315,9712
17387,3588
11693,8468
5889,11610
18271,17931
8922,9199
9926,18237
5586,7619
596,4748
19458,301316
19101,9382
1110,6254
14139,538
3046,15743
3134,398748
7342,363
136,4512
14514,2680
16519,891
19400,4979
8587,181699
18313,313505
19158,18930
19030,17541
2802,11456
19210,388299
19080,218766
8904,2776
18865,134483
18694,8307
16142,17910
12514,1692
1529,19769
3417,298470
4950,299314
5566,19029
2817,2824
11372,8251
7575,18963
14127,16587
15034,5871
463,9306
4851,12006
16896,5751
254,18590
10633,291156
12115,17757
8511,2614
19981,16257
13125,13548
18079,15510
5157,3281
11261,2579
7403,4274
11710,15063
18757,16404
18799,31029
19902,173086
2247,312892
10131,14970
128,288572
14186,15428
3415,3261
2065,2510
8516,7324
16300,2562
9606,15315
3858,136821
8306,5669
11405,15649
4266,985
1058,131776
2880,5520
14501,20407
13984,14324
17505,3776
18683,1206
18260,13736
9349,14751
2090,2971
4836,328934
15927,88926
5515,15585
19333,851
14753,13203
13422,14181
11070,19981
17068,1022
17225,14888
16398,1661
15801,218118
12498,16308
14511,17365
17630,2897
14954,19196
12849,6295
13953,15654
2257,12565
10047,364
14046,7610
3992,3252
12439,329671
15696,34566
7423,17622
7434,3840
2118,7621
19273,5952
14009,11757
18718,402041
1537,16288
11478,11882
18207,12566
258,33822
15894,16944
18706,8401
8537,101078
19705,7874
3968,2789
6568,99287
11173,9152
17139,13871
15695,128376
9083,19534
3498,8481
14401,8144
11519,1266
6525,102117
14226,235025
3556,3841
1695,7767
14331,343235
3438,181725
10940,7631
6603,3264
9656,16338
11521,12247
12098,10859
18554,15945
7790,17199
19185,7562
17471,15002
6410,11247
5111,19678
15424,11277
1840,16507
10426,17904
16209,291353
4485,8037
6965,11869
13649,132730
532,11868
10820,340909
10671,11269
1570,19312
10617,7349
14548,17031
6284,14596
18529,178096
13122,170853
9896,9683
5596,12690
672,5883
10990,32568
3081,2383
16723,2238
5636,9750
122,7563
2433,364
12923,4678
16326,10872
1092,11563
19570,20224
9515,7671
14273,5916
12713,11410
5317,4209
15816,172981
12991,313136
14364,13770
17720,5631
19498,15188
4146,290373
11325,4503
1745,3873
11110,7805
16700,40042
14296,292654
5773,8490
19828,19738
2706,17713
6646,18330
17459,18559
14287,15163
19883,40177
14244,209
12356,19175
15387,13597
10984,3222
6112,6497
18651,4044
10733,11572
2937,15614
12012,2313
16481,308549
12668,181627
6940,6777
9247,7194
13990,17978
18203,310606
3473,220994
2201,297644
14871,19255
19475,300612
12530,17997
12300,99941
645,14194
3510,11444
9150,15378
19441,10447
7287,3795
17974,13742
13744,16582
11253,16891
19092,2135
7431,17779
5076,19982
9972,10141
11582,747
3967,32
15159,345702
7539,11998
207,140648
10782,3386
9034,3613
11810,15643
9024,15628
10415,17122
9420,9099
6719,13
11045,394673
1283,8113
12430,1460
17950,14347
4296,16216
5440,13853
12993,9733
2209,19667
472,11683
8839,1956
18487,14171
1229,18815
6032,397415
10123,18867
13847,335046
2252,17641
7419,17383
11866,25993
5569,89148
2675,2082
11209,7685
18960,12494
10531,6457
7036,1796
15404,9575
7438,18320
13118,293599
14352,127483
10230,220398
8321,12689
18602,18678
4441,5689
17996,4953
5092,13812
5167,14685
16929,33199
2445,326796
8213,5877
8847,6766
16719,6688
15186,17648
4600,2392
13147,222255
462,301500
7937,791
1722,1818
14306,14063
14966,14417
9856,4506
8843,14968
17672,16826
10336,7326
10038,11524
13403,4107
12892,107002
12153,1191
19630,304355
18226,2488
1569,1881
9143,135565
12380,31984
3455,4770
13341,6957
10430,16596
6810,4260
2032,100029
10424,16104
13749,16640
13945,19705
5752,317490
18918,6773
6804,11888
453,18733
19120,19176
5493,175386
1533,22341
4780,9296
842,165659
18031,12566
569,340965
5882,343288
12758,102876
7674,14524
8445,645
12305,34564
17136,2682
17681,7539
9935,801
18695,29459
11600,18981
11537,126675
12983,315019
18111,7453
6866,12252
15782,15298
3651,341167
15790,167462
7530,17920
8582,19818
6099,14375
8762,7742
2805,1335
13675,8891
9599,8701
1673,9574
16703,211570
8311,9550
12695,296775
12178,15101
1225,3205
16850,133509
19590,90483
17874,16206
15606,310227
11895,537
10599,62
9343,27406
1969,4112
1496,395839
4584,9313
11164,6892
8153,16797
554,9088
11526,112
5632,2108
12864,8739
5051,17719
14440,17583
6494,4097
110,329894
1409,3433
13365,305718
15609,305694
8517,172743
18950,8523
9946,4161
7851,177597
4663,41993
