ID,account_type,gender,age,Income,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction
19427,current,M,63,MEDIUM,30.1,10,628,1,5
16150,current,M,36,MEDIUM,14.4,10,656,0,12
11749,current,F,28,MEDIUM,4.8,10,314,1,13
11635,current,M,32,MEDIUM,9.6,2,614,1,19
8908,current,M,32,HIGH,12,7,750,1,18
6324,current,F,33,MEDIUM,10.4,3,464,0,9
538,current,M,60,MEDIUM,4,1,485,1,13
7908,current,M,53,MEDIUM,16.5,1,867,1,2
18674,current,M,60,LOW,32,9,372,1,14
19381,current,M,33,MEDIUM,13,3,505,1,13
5598,current,M,47,MEDIUM,16.2,2,658,1,5
4924,current,M,33,MEDIUM,11.7,9,683,0,9
4154,current,F,42,MEDIUM,13.2,5,748,1,4
13570,current,M,44,MEDIUM,2.4,6,945,0,18
2203,current,M,33,MEDIUM,3.9,9,265,0,3
15095,saving,M,32,MEDIUM,10.8,6,516,0,6
11974,current,M,67,MEDIUM,32.9,7,259,0,10
6036,current,M,53,LOW,19.8,8,887,0,13
17416,current,M,25,LOW,3.5,2,508,1,13
11158,current,M,35,HIGH,6,8,865,0,8
4426,current,M,46,LOW,20.8,10,914,0,16
19816,saving,M,55,LOW,28,4,700,0,8
9506,current,M,62,HIGH,42,10,424,0,13
10927,current,M,44,MEDIUM,12,2,748,1,9
13046,current,M,38,MEDIUM,7.2,9,354,1,14
11811,current,M,30,LOW,8,6,505,1,4
16016,current,M,28,LOW,4,4,623,1,19
5537,current,M,33,MEDIUM,1.3,10,860,1,8
18898,current,M,47,MEDIUM,8.1,4,385,0,7
7311,current,M,222,MEDIUM,80.8,4,802,1,3
7138,current,M,40,MEDIUM,16,8,766,1,2
15984,current,M,54,MEDIUM,27.2,6,743,1,20
12054,current,M,35,MEDIUM,15,10,867,0,20
14239,current,M,33,MEDIUM,10.4,8,802,1,15
13501,current,M,53,MEDIUM,19.8,2,445,1,7
14836,saving,M,35,MEDIUM,4.5,3,631,1,9
975,current,M,37,LOW,15.3,9,536,0,5
8078,current,M,55,MEDIUM,35,9,866,1,18
3778,current,M,37,LOW,17,7,700,0,4
16809,current,M,25,LOW,4,4,683,0,15
5354,current,M,69,MEDIUM,49,9,866,0,13
14341,current,M,53,MEDIUM,29.7,7,883,0,2
10962,current,M,35,MEDIUM,3,1,653,1,13
14410,current,M,66,MEDIUM,36.8,2,963,1,14
10375,current,F,66,MEDIUM,32.2,10,805,1,8
3549,current,M,33,LOW,9.1,4,882,1,13
4312,current,M,27,MEDIUM,6.3,5,805,1,19
5356,current,M,221,LOW,20.1,4,937,1,16
6690,saving,M,32,MEDIUM,8.4,5,247,1,14
17877,current,M,37,,17,4,454,1,16
12436,current,M,32,MEDIUM,12,4,723,1,3
19367,current,M,36,LOW,11.2,4,911,1,2
7637,current,M,34,LOW,7,4,249,1,8
5453,current,M,28,LOW,2.4,9,818,1,5
11575,current,M,44,LOW,12,6,858,1,3
2195,current,F,47,MEDIUM,2.7,5,519,1,18
13949,current,F,63,LOW,43,7,945,1,8
16442,current,M,60,MEDIUM,40,4,638,1,5
17342,current,M,62,LOW,21,3,374,1,3
2159,current,M,40,MEDIUM,16,7,369,1,16
15029,current,M,49,HIGH,26.1,7,,1,14
618,current,F,29,LOW,5.4,5,454,1,13
5126,current,M,35,MEDIUM,13.5,1,259,1,8
773,current,M,47,MEDIUM,13.5,10,324,1,2
10147,current,M,60,MEDIUM,24,10,537,0,17
